rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude,date,channel_type_count,countYTB,avg_monthly_earnings,avg_yearly_earnings,subscribers_s,video views_s,uploads_s,avg_monthly_earnings_s,channel_type_count_s
27,Colors TV,64600000,61510906457.0,Shows,Colors TV,112915,India,IN,Entertainment,10.0,9.0,9.0,1188000000.0,296900.0,4800000.0,3600000.0,57000000.0,1100000.0,2008.0,Jun,13.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,"2008,Jun,13",304.0,0.5,2548450.0,30300000.0,2.2475290073055443,2.6978467744298245,3.7474942583668542,3.5270467583333907,10.0
28,T-Series Bhakti Sagar,61000000,29533230328.0,Music,T- SERIES BHAKTI SAGAR,13,India,IN,Music,4053938.0,5803.0,5744.0,10.0,0.0,0.04,0.03,0.48,,2018.0,Aug,3.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,"2018,Aug,3",215.0,0.5,0.02,0.255,2.0928233777395797,1.2953171196491229,0.0004314522017337,2.767993688974389e-08,7.05298013245033
29,Dude Perfect,59500000,16241549158.0,Sports,Dude Perfect,389,United States,US,Sports,182.0,9.0,3.0,141200000.0,35300.0,564800.0,423600.0,6800000.0,100000.0,2009.0,Mar,17.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,"2009,Mar,17",13.0,0.5,300050.0,3611800.0,2.0283626987537606,0.7123486472807017,0.0129103774211106,0.4152682531883827,0.3642384105960264
30,Movieclips,59500000,59316472754.0,Film & Animation,Movieclips,39113,United States,US,Film,11.0,9.0,3.0,114668000.0,28700.0,458700.0,344000.0,5500000.0,100000.0,2006.0,Apr,28.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,"2006,Apr,28",42.0,0.5,243700.0,2922000.0,2.0283626987537606,2.6015996821929823,1.298106920493316,0.3372800310015293,1.324503311258278
31,Tips Official,59300000,33431802698.0,Music,Tips Official,4741,India,IN,Music,30.0,11.0,10.0,422634000.0,105700.0,1700000.0,1300000.0,20300000.0,600000.0,2007.0,May,22.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,"2007,May,22",215.0,0.5,902850.0,10800000.0,2.0197679415556515,1.4663071358771929,0.1573472991092171,1.2495415510452637,7.05298013245033
32,El Reino Infantil,58400000,57271630846.0,Music,El Reino Infantil,1510,Argentina,AR,Music,13.0,1.0,11.0,611828000.0,153000.0,2400000.0,1800000.0,29400000.0,600000.0,2011.0,Jun,2.0,90.0,44938712.0,9.79,41339571.0,-38.416097,-63.616672,"2011,Jun,2",215.0,0.5,1276500.0,15600000.0,1.98109153416416,2.511913633596491,0.0501148326629229,1.7666719719879038,7.05298013245033
33,Wave Music,58000000,40602020243.0,Music,Wave Music,19487,India,IN,Music,21.0,12.0,12.0,232025000.0,58000.0,928100.0,696100.0,11100000.0,500000.0,2014.0,Oct,29.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,"2014,Oct,29",215.0,0.5,493050.0,5898050.0,1.963902019767942,1.7807903615350875,0.6467468503989274,0.6823796441744112,7.05298013245033
34,Aaj Tak,57600000,25307753534.0,News & Politics,Aaj Tak,283775,India,IN,News,71.0,13.0,1.0,461148000.0,115300.0,1800000.0,1400000.0,22100000.0,500000.0,2009.0,Aug,27.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,"2009,Aug,27",30.0,0.5,957650.0,11750000.0,1.946712505371724,1.1099891900877192,9.41810373438475,1.325384578123162,0.9271523178807946
35,Sony Music India,57200000,28837144516.0,Music,Sony Music India,3882,India,IN,Music,45.0,14.0,13.0,259310000.0,64800.0,1000000.0,777900.0,12400000.0,300000.0,2009.0,Sep,2.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,"2009,Sep,2",215.0,0.5,532400.0,6588950.0,1.9295229909755056,1.2647870401754386,0.1288382651638854,0.7368399200049823,7.05298013245033
36,EminemMusic,56900000,27073872856.0,Music,EminemMusic,156,United States,US,Music,59.0,10.0,14.0,260193000.0,65000.0,1000000.0,780600.0,12500000.0,300000.0,2007.0,Feb,9.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,"2007,Feb,9",215.0,0.5,532500.0,6640300.0,1.9166308551783413,1.187450563859649,0.0051774264208052,0.7369783196894311,7.05298013245033
